"USE THESE AUTHORS																																																																																																																																																																												"
"Maherali	 N.	 #	 Sridharan	 R.	 #	 Xie	 W.	 #	 Utikal	 J.	 #	 Eminli	 S.	 #	 Arnold	 K.	 #	 Stadtfeld	 M.	 #	 Yachechko	 R.	 #	 Tchieu	 J.	 #	 Jaenisch	 R.	 #	 Plath	 K.	 #	 Hochedlinger	 K.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Takubo	 K.	 #	 Ohmura	 M.	 #	 Azuma	 M.	 #	 Nagamatsu	 G.	 #	 Yamada	 W.	 #	 Arai	 F.	 #	 Hirao	 A.	 #	 Suda	 T.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"White	 R.M.	 #	 Sessa	 A.	 #	 Burke	 C.	 #	 Bowman	 T.	 #	 LeBlanc	 J.	 #	 Ceol	 C.	 #	 Bourque	 C.	 #	 Dovey	 M.	 #	 Goessling	 W.	 #	 Burns	 C.E.	 #	 Zon	 L.I.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Ivey	 K.N.	 #	 Muth	 A.	 #	 Arnold	 J.	 #	 King	 F.W.	 #	 Yeh	 R.-F.	 #	 Fish	 J.E.	 #	 Hsiao	 E.C.	 #	 Schwartz	 R.J.	 #	 Conklin	 B.R.	 #	 Bernstein	 H.S.	 #	 Srivastava	 D.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Stadtfeld	 M.	 #	 Maherali	 N.	 #	 Breault	 D.T.	 #	 Hochedlinger	 K.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Han	 M.-K.	 #	 Song	 E.-K.	 #	 Guo	 Y.	 #	 Ou	 X.	 #	 Mantel	 C.	 #	 Broxmeyer	 H.E.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Rhodes	 K.E.	 #	 Gekas	 C.	 #	 Wang	 Y.	 #	 Lux	 C.T.	 #	 Francis	 C.S.	 #	 Chan	 D.N.	 #	 Conway	 S.	 #	 Orkin	 S.H.	 #	 Yoder	 M.C.	 #	 Mikkola	 H.K.A.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Pina	 C.	 #	 May	 G.	 #	 Soneji	 S.	 #	 Hong	 D.	 #	 Enver	 T.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Fleming	 H.E.	 #	 Janzen	 V.	 #	 Lo Celso	 C.	 #	 Guo	 J.	 #	 Leahy	 K.M.	 #	 Kronenberg	 H.M.	 #	 Scadden	 D.T.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Humphreys	 B.D.	 #	 Valerius	 M.T.	 #	 Kobayashi	 A.	 #	 Mugford	 J.W.	 #	 Soeung	 S.	 #	 Duffield	 J.S.	 #	 McMahon	 A.P.	 #	 Bonventre	 J.V.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Wong	 D.J.	 #	 Liu	 H.	 #	 Ridky	 T.W.	 #	 Cassarino	 D.	 #	 Segal	 E.	 #	 Chang	 H.Y.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Chen	 G.	 #	 Ye	 Z.	 #	 Yu	 X.	 #	 Zou	 J.	 #	 Mali	 P.	 #	 Brodsky	 R.A.	 #	 Cheng	 L.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Maillard	 I.	 #	 Koch	 U.	 #	 Dumortier	 A.	 #	 Shestova	 O.	 #	 Xu	 L.	 #	 Sai	 H.	 #	 Pross	 S.E.	 #	 Aster	 J.C.	 #	 Bhandoola	 A.	 #	 Radtke	 F.	 #	 Pear	 W.S.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Haug	 J.S.	 #	 He	 X.C.	 #	 Grindley	 J.C.	 #	 Wunderlich	 J.P.	 #	 Gaudenz	 K.	 #	 Ross	 J.T.	 #	 Paulson	 A.	 #	 Wagner	 K.P.	 #	 Xie	 Y.	 #	 Zhu	 R.	 #	 Yin	 T.	 #	 Perry	 J.M.	 #	 Hembree	 M.J.	 #	 Redenbaugh	 E.P.	 #	 Radice	 G.L.	 #	 Seidel	 C.	 #	 Li	 L.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Min	 I.M.	 #	 Pietramaggiori	 G.	 #	 Kim	 F.S.	 #	 Passegué	 E.	 #	 Stevenson	 K.E.	 #	 Wagers	 A.J.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Nagoshi	 N.	 #	 Shibata	 S.	 #	 Kubota	 Y.	 #	 Nakamura	 M.	 #	 Nagai	 Y.	 #	 Satoh	 E.	 #	 Morikawa	 S.	 #	 Okada	 Y.	 #	 Mabuchi	 Y.	 #	 Katoh	 H.	 #	 Okada	 S.	 #	 Fukuda	 K.	 #	 Suda	 T.	 #	 Matsuzaki	 Y.	 #	 Toyama	 Y.	 #	 Okano	 H.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Efroni	 S.	 #	 Duttagupta	 R.	 #	 Cheng	 J.	 #	 Dehghani	 H.	 #	 Hoeppner	 D.J.	 #	 Dash	 C.	 #	 Bazett-Jones	 D.P.	 #	 Le Grice	 S.	 #	 McKay	 R.D.G.	 #	 Buetow	 K.H.	 #	 Gingeras	 T.R.	 #	 Misteli	 T.	 #	 Meshorer	 E.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Sampath	 P.	 #	 Pritchard	 D.K.	 #	 Pabon	 L.	 #	 Reinecke	 H.	 #	 Schwartz	 S.M.	 #	 Morris	 D.R.	 #	 Murry	 C.E.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Yu	 X.	 #	 Zou	 J.	 #	 Ye	 Z.	 #	 Hammond	 H.	 #	 Chen	 G.	 #	 Tokunaga	 A.	 #	 Mali	 P.	 #	 Li	 Y.-M.	 #	 Civin	 C.	 #	 Gaiano	 N.	 #	 Cheng	 L.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Falk	 S.	 #	 Wurdak	 H.	 #	 Ittner	 L.M.	 #	 Ille	 F.	 #	 Sumara	 G.	 #	 Schmid	 M.-T.	 #	 Draganova	 K.	 #	 Lang	 K.S.	 #	 Paratore	 C.	 #	 Leveen	 P.	 #	 Suter	 U.	 #	 Karlsson	 S.	 #	 Born	 W.	 #	 Ricci	 R.	 #	 Götz	 M.	 #	 Sommer	 L.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Ficara	 F.	 #	 Murphy	 M.J.	 #	 Lin	 M.	 #	 Cleary	 M.L.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Lee	 D.	 #	 Park	 C.	 #	 Lee	 H.	 #	 Lugus	 J.J.	 #	 Kim	 S.H.	 #	 Arentson	 E.	 #	 Chung	 Y.S.	 #	 Gomez	 G.	 #	 Kyba	 M.	 #	 Lin	 S.	 #	 Janknecht	 R.	 #	 Lim	 D.-S.	 #	 Choi	 K.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Shi	 Y.	 #	 Do	 J.T.	 #	 Desponts	 C.	 #	 Hahm	 H.S.	 #	 Schöler	 H.R.	 #	 Ding	 S.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Windrem	 M.S.	 #	 Schanz	 S.J.	 #	 Guo	 M.	 #	 Tian	 G.-F.	 #	 Washco	 V.	 #	 Stanwood	 N.	 #	 Rasband	 M.	 #	 Roy	 N.S.	 #	 Nedergaard	 M.	 #	 Havton	 L.A.	 #	 Wang	 S.	 #	 Goldman	 S.A.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Belema-Bedada	 F.	 #	 Uchida	 S.	 #	 Martire	 A.	 #	 Kostin	 S.	 #	 Braun	 T.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Qiu	 W.	 #	 Carson-Walter	 E.B.	 #	 Liu	 H.	 #	 Epperly	 M.	 #	 Greenberger	 J.S.	 #	 Zambetti	 G.P.	 #	 Zhang	 L.	 #	 Yu	 J.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Janzen	 V.	 #	 Fleming	 H.E.	 #	 Riedt	 T.	 #	 Karlsson	 G.	 #	 Riese	 M.J.	 #	 Lo Celso	 C.	 #	 Reynolds	 G.	 #	 Milne	 C.D.	 #	 Paige	 C.J.	 #	 Karlsson	 S.	 #	 Woo	 M.	 #	 Scadden	 D.T.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Fujita	 J.	 #	 Crane	 A.M.	 #	 Souza	 M.K.	 #	 Dejosez	 M.	 #	 Kyba	 M.	 #	 Flavell	 R.A.	 #	 Thomson	 J.A.	 #	 Zwaka	 T.P.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Desbordes	 S.C.	 #	 Placantonakis	 D.G.	 #	 Ciro	 A.	 #	 Socci	 N.D.	 #	 Lee	 G.	 #	 Djaballah	 H.	 #	 Studer	 L.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Nowak	 J.A.	 #	 Polak	 L.	 #	 Pasolli	 H.A.	 #	 Fuchs	 E.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Leatherman	 J.L.	 #	 Di Nardo	 S.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Lindsley	 R.C.	 #	 Gill	 J.G.	 #	 Murphy	 T.L.	 #	 Langer	 E.M.	 #	 Cai	 M.	 #	 Mashayekhi	 M.	 #	 Wang	 W.	 #	 Niwa	 N.	 #	 Nerbonne	 J.M.	 #	 Kyba	 M.	 #	 Murphy	 K.M.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Bondue	 A.	 #	 Lapouge	 G.	 #	 Paulissen	 C.	 #	 Semeraro	 C.	 #	 Iacovino	 M.	 #	 Kyba	 M.	 #	 Blanpain	 C.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Ledran	 M.H.	 #	 Krassowska	 A.	 #	 Armstrong	 L.	 #	 Dimmick	 I.	 #	 Renström	 J.	 #	 Lang	 R.	 #	 Yung	 S.	 #	 Santibanez-Coref	 M.	 #	 Dzierzak	 E.	 #	 Stojkovic	 M.	 #	 Oostendorp	 R.A.J.	 #	 Forrester	 L.	 #	 Lako	 M.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Taoudi	 S.	 #	 Gonneau	 C.	 #	 Moore	 K.	 #	 Sheridan	 J.M.	 #	 Blackburn	 C.C.	 #	 Taylor	 E.	 #	 Medvinsky	 A.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Raouf	 A.	 #	 Zhao	 Y.	 #	 To	 K.	 #	 Stingl	 J.	 #	 Delaney	 A.	 #	 Barbara	 M.	 #	 Iscove	 N.	 #	 Jones	 S.	 #	 McKinney	 S.	 #	 Emerman	 J.	 #	 Aparicio	 S.	 #	 Marra	 M.	 #	 Eaves	 C.J.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Marson	 A.	 #	 Foreman	 R.	 #	 Chevalier	 B.	 #	 Bilodeau	 S.	 #	 Kahn	 M.	 #	 Young	 R.A.	 #	 Jaenisch	 R.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Kobayashi	 A.	 #	 Valerius	 M.T.	 #	 Mugford	 J.W.	 #	 Carroll	 T.J.	 #	 Self	 M.	 #	 Oliver	 G.	 #	 McMahon	 A.P.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Séguin	 C.A.	 #	 Draper	 J.S.	 #	 Nagy	 A.	 #	 Rossant	 J.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Xu	 R.-H.	 #	 Sampsell-Barron	 T.L.	 #	 Gu	 F.	 #	 Root	 S.	 #	 Peck	 R.M.	 #	 Pan	 G.	 #	 Yu	 J.	 #	 Antosiewicz-Bourget	 J.	 #	 Tian	 S.	 #	 Stewart	 R.	 #	 Thomson	 J.A.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Goyama	 S.	 #	 Yamamoto	 G.	 #	 Shimabe	 M.	 #	 Sato	 T.	 #	 Ichikawa	 M.	 #	 Ogawa	 S.	 #	 Chiba	 S.	 #	 Kurokawa	 M.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Larsson	 J.	 #	 Ohishi	 M.	 #	 Garrison	 B.	 #	 Aspling	 M.	 #	 Janzen	 V.	 #	 Adams	 G.B.	 #	 Curto	 M.	 #	 McClatchey	 A.I.	 #	 Schipani	 E.	 #	 Scadden	 D.T.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Mirzadeh	 Z.	 #	 Merkle	 F.T.	 #	 Soriano-Navarro	 M.	 #	 Garcia-Verdugo	 J.M.	 #	 Alvarez-Buylla	 A.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Tavazoie	 M.	 #	 Van der Veken	 L.	 #	 Silva-Vargas	 V.	 #	 Louissaint	 M.	 #	 Colonna	 L.	 #	 Zaidi	 B.	 #	 Garcia-Verdugo	 J.M.	 #	 Doetsch	 F.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Shen	 Q.	 #	 Wang	 Y.	 #	 Kokovay	 E.	 #	 Lin	 G.	 #	 Chuang	 S.-M.	 #	 Goderie	 S.K.	 #	 Roysam	 B.	 #	 Temple	 S.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Crisan	 M.	 #	 Yap	 S.	 #	 Casteilla	 L.	 #	 Chen	 C.-W.	 #	 Corselli	 M.	 #	 Park	 T.S.	 #	 Andriolo	 G.	 #	 Sun	 B.	 #	 Zheng	 B.	 #	 Zhang	 L.	 #	 Norotte	 C.	 #	 Teng	 P.-N.	 #	 Traas	 J.	 #	 Schugar	 R.	 #	 Deasy	 B.M.	 #	 Badylak	 S.	 #	 Buhring	 H.-J.	 #	 Giacobino	 J.-P.	 #	 Lazzari	 L.	 #	 Huard	 J.	 #	 Péault	 B.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Mercher	 T.	 #	 Cornejo	 M.G.	 #	 Sears	 C.	 #	 Kindler	 T.	 #	 Moore	 S.A.	 #	 Maillard	 I.	 #	 Pear	 W.S.	 #	 Aster	 J.C.	 #	 Gilliland	 D.G.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Eisenhoffer	 G.T.	 #	 Kang	 H.	 #	 Alvarado	 A.S.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Maherali	 N.	 #	 Ahfeldt	 T.	 #	 Rigamonti	 A.	 #	 Utikal	 J.	 #	 Cowan	 C.A.	 #	 Hochedlinger	 K.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Hockemeyer	 D.	 #	 Soldner	 F.	 #	 Cook	 E.G.	 #	 Gao	 Q.	 #	 Mitalipova	 M.	 #	 Jaenisch	 R.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Lucas	 D.	 #	 Battista	 M.	 #	 Shi	 P.A.	 #	 Isola	 L.	 #	 Frenette	 P.S.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
"Hayashi	 K.	 #	 Lopes	 S.M.C.d.S.	 #	 Tang	 F.	 #	 Surani	 M.A.	 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #			 #		"
